# 137,cat137 -># 406,cat406|Топоры
#1|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм              |137|21645| 429,00| 414,00| 398,00||norow|| СИБРТЕХ <span class="art">арт. 21645</span>|</span></p><UL><LI>Полотно выполнено из стали марки <b>У8</b>.<LI>Рабочая кромка заточена под углом <b>20-30°</b> и имеет твердость в пределах 25 мм от кромки <b>48-57 HRC</b>.<LI>Фибергласовое топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>410 мм</b>, общий вес <b>1.18 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/21645.jpg|/img/pic/instr/big/21645.jpg
#0|Топор кованый 0.8 кг с фиберглассовым топорищем 395 мм СИБРТЕХ      |137|21645| 429,00| 414,00| 398,00||
#1|Топор кованый 1.25 кг с фиберглассовым обрезиненным топорищем    |137|39-1-012|1165,00|1125,00|1098,00||norow|| HARDAX <span class="art">арт. 39-1-012</span>|</span></p><UL><LI>Полотно выполнено из усиленной термообработанной инструментальной стали твердостью <b>47-52 HRC</b>.<LI>Фибергласовое обрезиненное топорище обеспечивает амортизацию при ударе и удобно лежит в руке.<LI>Общая длина <b>400 мм</b>, общий вес <b>1.63 кг</b>.</UL><p><span class="addt">||/img/pic/instr/small/39-1-012.jpg|/img/pic/instr/big/39-1-012.jpg
 0|Плоскогубцы HOBBI "NORMAL", 160 мм                  |121|34-6-016 | 159,00| 154,00| 151,00
 0|Плоскогубцы HOBBI "NORMAL", 180 мм                  |121|34-6-018 | 198,00| 192,00| 188,00
 0|Плоскогубцы HOBBI "NORMAL", 200 мм                  |121|34-6-020 | 225,00| 216,00| 216,00
 1|Плоскогубцы HARDAX 160&nbsp;мм                      |121|34-4-001 | 318,00| 312,00| 306,00|||Плоскогубцы| HARDAX, американский тип (STANDARD)|Плоскогубцы изготовлены из хромованадиевой стали с никелированным покрытием. Имеют антикоррозийную обработку, двухкомпонентную ручку.||/img/pic/instr/small/34-4-003.jpg|/img/pic/instr/big/34-4-003.jpg
 0|Плоскогубцы HARDAX 200&nbsp;мм                      |121|34-4-003 | 335,00| 326,00| 315,00|
 1|Плоскогубцы диэлектрические, 200&nbsp;мм, до 1000 В |121|N.200E   | 475,00| 465,00| 439,00||norow|| НИЗ <span class=art>арт. DP200-NIZ</span>|||/img/pic/instr/small/Ploskogubzy 200 - 1000 W.jpg|/img/pic/instr/big/Ploskogubzy 200 - 1000 W.jpg
~0|Плоскогубцы диэлектрические НИЗ, 200&nbsp;мм        |121|N.200E   | 475,00| 465,00| 439,00
#1|Плоскогубцы с двойным рычажным механизмом 200 мм    |121|16929    | 298,00| 292,00| 287,00||norow|| MATRIX "Energies" <span class="art">арт. 16929</span>|</span></p><UL><LI>Изготовлены из хромованадиевой стали с никелированным покрытием.<li>Использование двойного рычажного механизма увеличивает эффективность инструмента.<li>Рабочие кромки закалены токами высокой частоты.<li>Твердость рабочих кромок – 53 HRC, зажимных поверхностей – 45,5 HRC.</UL><p><span class="addt">||/img/pic/instr/small/16929.jpg|/img/pic/instr/big/16929.jpg
#0|Плоскогубцы с двойным рычажным механизмом 200 мм    |121|16929    | 585.00| 565.00| 555.00
#1|Плоскогубцы BOHRER                                  |121|BO.P16   | 189.00| 184.00| 169.00||norow|Плоскогубцы | BOHRER (немецкий тип), CrV|Пассатижи из хромванадиевой стали, с обрезиненными двухкомпонентными ручками.||/img/pic/instr/small/plos_bohrer.jpg|/img/pic/instr/big/plos_bohrer.jpg
#0|Плоскогубцы BOHRER, 160 мм                          |121|BO.P16   | 189.00| 184.00| 169.00
#0|Плоскогубцы BOHRER, 200 мм                          |121|BO.P20   | 189.00| 184.00| 169.00
#1|Плоскогубцы комбинированные                         |121|PN200    | 185.00| 170.00| 160.00||norow |Плоскогубцы комбинированные,| декоративные ручки <span class=art>арт. PN200</span>|</span></p><UL><LI>Рычаги изготовлены из инструментальной углеродистой стали.<LI>Инструмент имеет защитно-декоративное покрытие.</UL><p><span class="addt">||/img/pic/instr/small/ploPN200.jpg|/img/pic/instr/big/ploPN200.jpg
#0|Плоскогубцы комбинированные 200&nbsp;мм             |121|PN200    | 210.00| 200.00| 192.00|
#1|Плоскогубцы профессиональные усиленные              |121|17305    | 740.00| 705.00| 685.00||norow|| TRUPER T201-9,  230&nbsp;мм <span class=art>арт. 17305</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T201-9.jpg|/img/pic/instr/big/T201-9.jpg
#0|Плоскогубцы усиленные TRUPER T201-9, 230 мм         |121|17305    | 740.00| 705.00| 685.00
#1|Плоскогубцы профессиональные диэлектрические        |121|12351    |1290.00|1250.00|1180.00||norow|| TRUPER T201-7X, 180 мм <span class="art">арт. 12351</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Комфортные диэлектрические рукоятки, выдерживают до 1000V.<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T200-9X.jpg|/img/pic/instr/big/T200-9X.jpg
#0|Плоскогубцы диэлектрические TRUPER T201-7X, 180 мм  |121|17329    | 565.00| 535.00| 515.00
#0|Плоскогубцы диэлектрические TRUPER T200-9X, 230 мм  |121|12351    |1290.00|1250.00|1180.00
#1|Плоскогубцы диэлектрические, 200&nbsp;мм, до 1000 В |121|PD.M200  | 225.00| 220.00| 198.00||norow|| Металлист <span class=art>арт. PD.M200</span>|||/img/pic/instr/small/PD_M200.jpg|/img/pic/instr/big/PD_M200.jpg
#0|Плоскогубцы диэлектрические, Металлист, 200&nbsp;мм |121|PD.M200  | 225.00| 220.00| 198.00
#1|Плоскогубцы SPARTA "Classic",                       |121|16957    | 148.00| 144.00| 139.00||norow |Плоскогубцы| SPARTA "Classic", шлифованные, пластмассовые рукоятки|</span></p><UL><LI>Плоскогубцы изготовлены из инструментальной углеродистой стали марки У7 и имеют шлифованную поверхность.<LI>Твердость режущих кромок 53 HRC.<LI>Твердость зажимных частей 45,5 HRC.<LI>Рукоятки выполнены из пластика.</UL><p><span class="addt">||/img/pic/instr/small/sp16957.jpg|/img/pic/instr/big/sp16957.jpg
#0|Плоскогубцы SPARTA "Classic", 160 мм                |121|16957    | 148.00| 144.00| 139.00
#0|Плоскогубцы SPARTA "Classic", 200 мм                |121|16962    | 198.00| 189.00| 184.00
#1|Плоскогубцы комбинированные TARG 160&nbsp;мм        |121|196001   | 219.00| 205.00| 195.00|||Плоскогубцы комбинированные| TARG (немецкий тип) STANDARD <span class="art">арт. 196001</span>|Пассатижи с классическими рукоятками и рабочими поверхностями, дополненными мини-бокорезами.||/img/pic/instr/small/PLOSKOGUBTZY-TARG.jpg|/img/pic/instr/big/PLOSKOGUBTZY-TARG.jpg
#0|Плоскогубцы комбинированные TARG 200&nbsp;мм        |121|196003   | 239.00| 233.00| 225.00|
#1|Плоскогубцы профессиональные усиленные              |121|17305    | 740.00| 705.00| 685.00|||| TRUPER T201-9,  230&nbsp;мм <span class=art>арт. 17305</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T201-9.jpg|/img/pic/instr/big/T201-9.jpg
#1|Плоскогубцы профессиональные диэлектрические        |121|12351    | 990.00| 950.00| 925.00|||| TRUPER T200-9X, 230&nbsp;мм <span class=art>арт. 12351</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Комфортные диэлектрические рукоятки, выдерживают до 1000V.<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T200-9X.jpg|/img/pic/instr/big/T200-9X.jpg
#1|Плоскогубцы профессиональные диэлектрические        |121|17329    | 565.00| 535.00| 515.00|||| TRUPER T201-7X, 180&nbsp;мм <span class=art>арт. 17329</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Комфортные диэлектрические рукоятки, выдерживают до 1000V.<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T201-7X.jpg|/img/pic/instr/big/T201-7X.jpg
#1|Плоскогубцы диэлектрические,                        |121|DP200-NIZ| 260.00| 240.00| 225.00|||| 200&nbsp;мм, до 1000 В <span class=art>арт. DP200-NIZ</span>|||/img/pic/instr/small/Ploskogubzy 200 - 1000 W.jpg|/img/pic/instr/big/Ploskogubzy 200 - 1000 W.jpg
#1|Плоскогубцы,                                        |121|PDR200   | 265.00| 250.00| 240.00|||| 200&nbsp;мм, декоративные ручки <span class=art>арт. PDR200</span>|||/img/pic/instr/small/PDR200.jpg|/img/pic/instr/big/jpg
#1|Плоскогубцы комбинированные 180 мм|121|16973|1120|1080|1060||| GROSS. Режущие кромки закалены. Эффективность реза +20%. Покрытие TITAN-finish. Сделано в ГЕРМАНИИ <span class=art>арт. 16973</span>|||/img/pic/instr/small/PLOSKOGUBCY GROSS 180MM.jpg|/img/pic/instr/big/PLOSKOGUBCY GROSS 180MM.jpg
#1|Плоскогубцы комбинированные 160&nbsp;мм GRAND   |121|16908|88|88|88|sale1|Плоскогубцы комбинированные| GRAND|||/img/pic/instr/small/PLOSKOGUBZY GRAND 160 i 200 mm.jpg|/img/pic/instr/big/PLOSKOGUBZY GRAND 160 i 200 mm.jpg
#0|Плоскогубцы комбинированные 200&nbsp;мм GRAND   |121|16911|99|99|99
#1|Плоскогубцы комбинированные 160&nbsp;мм STANDARD|121|16969|||77|sale1|Плоскогубцы комбинированные| 160&nbsp;мм STANDARD <span class=art>арт. 16969</span>|||/img/pic/instr/small/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg|/img/pic/instr/big/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg
#1|Плоскогубцы комбинированные 160&nbsp;мм STANDARD|121|16969|145|133|norow|Плоскогубцы комбинированные| STANDARD|||/img/pic/instr/small/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg|/img/pic/instr/big/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg
#0|Плоскогубцы комбинированные 200&nbsp;мм STANDARD|121|16974 / 16994|159|144

# 123,cat123|Бокорезы
 1|Бокорезы                                            |123|         | 169.00| 165.00| 158.00||norow|| HOBBI "Normal"|</span></p><UL><LI>Рычаги изготовлены из инструментальной углеродистой стали.<LI>Инструмент имеет цинковое защитно-декоративное покрытие.</UL><p><span class="addt">||/img/pic/instr/small/bok_hobbi.jpg|/img/pic/instr/big/bok_hobbi.jpg
 0|Бокорезы HOBBI "Normal",          160 мм            |123|34-6-316 | 155,00| 152,00| 148,00|
~0|Бокорезы HOBBI "Normal",          180 мм            |123|34-6-318 | 198,00| 192,00| 186,00|
~1|Бокорезы                                            |123|34-4-023 | 318,00| 306,00| 295,00||norow|| HARDAX, американский тип, усиленные|Бокорезы изготовлены из хромованадиевой стали с никелированным покрытием. Имеют антикоррозийную обработку, двухкомпонентную ручку.||/img/pic/instr/small/34-4-023n.jpg|/img/pic/instr/big/34-4-023n.jpg
~0|Бокорезы HARDAX, американский тип, 180 мм           |123|34-4-023 | 325,00| 315,00| 305,00|
#1|Бокорезы 160 мм                                     |123|BBM.16   | 179.00| 173.00| 169.00||norow|| BOHRER "Master", немецкий тип, двухкомпонентные рукоятки <span class=art>арт. BBM.16</span>|</span></p><UL><LI>Изготовлены из хромванадиевой стали (<b>CrV</b>).<LI>Рукоятки покрыты пластиком и обрезинены.</UL><p><span class="addt">||/img/pic/instr/small/bok_bohrer.jpg|/img/pic/instr/big/bok_bohrer.jpg
#0|Бокорезы 160 мм BOHRER "Master", немецкий тип       |123|BBM.16   | 179.00| 173.00| 169.00
#1|Бокорезы с двойным рычажным механизмом 190 мм       |123|17515    | 598.00| 589.00| 577.00||norow|| MATRIX "Energies" <span class="art">арт. 17515</span>|</span></p><UL><LI>Изготовлены из хромованадиевой стали с никелированным покрытием.<li>Использование двойного рычажного механизма увеличивает эффективность инструмента.<li>Рабочие кромки закалены токами высокой частоты.<li>Твердость рабочих кромок – 53 HRC, зажимных поверхностей – 45,5 HRC.</UL><p><span class="addt">||/img/pic/instr/small/17515.jpg|/img/pic/instr/big/17515.jpg
#0|Бокорезы с двойным рычажным механизмом 190 мм       |123|17515    | 598.00| 589.00| 577.00
 1|Бокорезы диэлектрические изолированные,             |123|DIB200   | 329.00| 319.00| 307.00||norow ltdi one|| до 1000 В|Предназначены для работы в электроустановках напряжением до 1000&thinsp;В переменного и 1500&thinsp;В постоянного тока.</span></p><UL><LI>Рычаги изготовлены из инструментальной углеродистой стали.<LI>Инструмент имеет хромовое защитно-декоративное покрытие.<LI>Электроизоляционное покрытие: грунтовка + двухслойный пластизоль.</UL><p><span class="addt">||/img/pic/instr/small/bokDIB160.jpg|/img/pic/instr/big/bokDIB160.jpg
~0|Бокорезы диэлектрические, 160 мм                    |123|DIB160   | 325,00| 312,00| 305,00|
~0|Бокорезы диэлектрические, 200 мм                    |123|DIB200   | 355,00| 344,00| 333,00|
 0|Бокорезы диэлектрические, 160 мм (Сосновское)       |123|PSC.B16D | 229.00| 222.00| 212.00||ltdl
#1|Бокорезы SPARTA "Classic",                          |123|17560    | 139.00| 133.00| 129.00||norow |Бокорезы| SPARTA "Classic" 180 мм, шлифованные, пластмассовые рукоятки <span class=art>арт. 17560</span>|</span></p><UL><LI>Бокорезы изготовлены из инструментальной углеродистой стали марки У7 и имеют шлифованную поверхность.<LI>Твердость режущих кромок 53 HRC.<LI>Твердость зажимных частей 45,5 HRC.<LI>Рукоятки выполнены из пластика.</UL><p><span class="addt">||/img/pic/instr/small/sp17560.jpg|/img/pic/instr/big/sp17560.jpg
#0|Бокорезы SPARTA "Classic", 180 мм                   |123|17560    | 139.00| 133.00| 129.00
#1|Бокорезы                                            |123|192001   | 198.00| 192.00| 188.00||norow|| TARG, американский тип, 180 мм <span class="art">арт. 192002</span>|||/img/pic/instr/small/BOKOREZY-art-194002.jpg|/img/pic/instr/big/BOKOREZY-art-194002.jpg
#0|Бокорезы TARG, американский тип, 160 мм             |123|192001   | 198.00| 192.00| 188.00|
#0|Бокорезы TARG, немецкий тип, 160 мм                 |123|194001   | 198.00| 192.00| 188.00|
#0|Бокорезы TARG, американский тип, 180 мм             |123|192002   | 245.00| 230.00| 225.00|
#0|Бокорезы с декоративными ручками, 160 мм            |123|BN160    | 158.00| 152.00| 147.00|
#0|Бокорезы с декоративными ручками, 200 мм            |123|BN200    | 215.00| 205.00| 195.00|
#1|Бокорезы диэлектрические                            |123|17331    | 398.00| 388.00| 378.00||norow|| TRUPER T202-6X, 150&nbsp;мм <span class=art>арт. 17331</span>|</span></p><UL><LI>Кованая сталь CrV (хром-ванадий, в два раза прочнее углеродистой стали).<LI>Комфортные диэлектрические рукоятки, выдерживают до 1000V.<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T202-6X.jpg|/img/pic/instr/big/T202-6X.jpg
#0|Бокорезы диэлектрические TRUPER T202-6X, 150&nbsp;мм|123|17331    | 398.00| 388.00| 378.00|
#1|Бокорезы                                            |123|17313    | 445.00| 235.00| 225.00||norow|| TRUPER T202-7, 180&nbsp;мм <span class=art>арт. 17313</span>|</span></p><UL><LI>Кованая сталь CrV (хром-ванадий, в два раза прочнее углеродистой стали).<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T202-5.jpg|/img/pic/instr/big/T202-5.jpg
#0|Бокорезы TRUPER T202-7, 180&nbsp;мм                 |123|17313    | 445.00| 235.00| 225.00|
#1|Бокорезы усиленные                                  |123|17575    |1990.00|1900.00|1880.00||norow|| GROSS, 215 мм. Твердость режущих кромок 62 HRC. Рычажной механизм. Эффективность реза +50%. Покрытие TITAN-finish. Сделано в ГЕРМАНИИ <span class=art>арт. 17575</span>|||/img/pic/instr/small/BOKOREZY GROSS 215MM.jpg|/img/pic/instr/big/BOKOREZY GROSS 215MM.jpg
#0|Бокорезы усиленные GROSS, 215 мм                    |123|17575    |1990.00|1900.00|1880.00|
#1|Бокорезы                                            |123|192001   | 225.00| 210.00| 200.00|norow|| TARG, американский тип|||/img/pic/instr/small/BOKOREZY-art-194002.jpg|/img/pic/instr/big/BOKOREZY-art-194002.jpg
#0|Бокорезы TARG, американский тип, 160 мм             |123|192001   | 225.00| 210.00| 200.00
#0|Бокорезы TARG, американский тип, 180 мм             |123|192002   | 265.00| 250.00| 240.00
#1|Бокорезы                                            |123|194001   | 225.00| 210.00| 200.00|norow|| 160&nbsp;мм TARG, немецкий тип <span class=art>арт. 194001</span>|||/img/pic/instr/small/BOKOREZY-art-194001.jpg|/img/pic/instr/big/BOKOREZY-art-194001.jpg
#0|Бокорезы TARG, немецкий тип, 160 мм                 |123|194001   | 225.00| 210.00| 200.00
#1|Бокорезы|123|192001|158|152|148|||, 160&nbsp;мм TARG, американский тип <span class=art>арт. 192001</span>|||/img/pic/instr/small/BOKOREZY-art-194002.jpg|/img/pic/instr/big/BOKOREZY-art-194002.jpg
#1|Бокорезы|123|194001|158|152|148|||, 160&nbsp;мм TARG, немецкий тип <span class=art>арт. 194001</span>|||/img/pic/instr/small/BOKOREZY-art-194001.jpg|/img/pic/instr/big/BOKOREZY-art-194001.jpg
#1|Бокорезы|123|17331|345|333|328||| TRUPER T202-6X, 150&nbsp;мм <span class=art>арт. 17331</span>|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Комфортные диэлектрические рукоятки, выдерживают до 1000V.<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).</UL><p><span class="addt">||/img/pic/instr/small/T202-6X.jpg|/img/pic/instr/big/T202-6X.jpg
#0|Бокорезы 200&nbsp;мм STANDARD|123|17569/17596|158|145|-
#1|Бокорезы усиленные 215 мм|123|17575|1490|1420|1390||| GROSS. Твердость режущих кромок 62 HRC. Рычажной механизм. Эффективность реза +50%. Покрытие TITAN-finish. Сделано в ГЕРМАНИИ <span class=art>арт. 17575</span>|||/img/pic/instr/small/BOKOREZY GROSS 215MM.jpg|/img/pic/instr/big/BOKOREZY GROSS 215MM.jpg
#1|Бокорезы диэлектрические|123|DIB200|295|280|270|||, 200&nbsp;мм, до 1000 В <span class=art>арт. DIB200</span>|||/img/pic/instr/small/Bokorezy dielectr 1000 w.jpg|/img/pic/instr/big/Bokorezy dielectr 1000 w.jpg

# 423,cat423|Кусачки торцевые
#1|Кусачки торцевые,                                   |423|KT160   | 158| 152| 148||norow || декоративные ручки|</span></p><UL><LI>Рычаги изготовлены из инструментальной углеродистой стали.<LI>Инструмент имеет защитно-декоративное покрытие.</UL><p><span class="addt">||/img/pic/instr/small/kusKT200.jpg|/img/pic/instr/big/kusKT200.jpg
#0|Кусачки торцевые, 160&nbsp;мм                       |423|KT160   | 158| 152| 148|
#0|Кусачки торцевые, 200&nbsp;мм                       |423|KT200   | 215| 205| 198|
 1|Кусачки торцевые 200 мм                             |423|34-4-220| 188| 182| 178||norow || с ПВХ рукоятками <span class="art">арт. 34-4-220</span>|</span><span class="for">Для перекусывания проволоки, гвоздей</span></p><UL><LI>Изготовлены из инструментальной стали.<LI>Твердость губок не менее 58 HRc.<LI>Рукоятки снабжены изолирующими чехлами из ПВХ.</UL><p><span class="addt">||/img/pic/instr/small/34-4-220.jpg|/img/pic/instr/big/34-4-220.jpg
 0|Кусачки торцевые 200 мм, рукоятки ПВХ               |423|34-4-220| 188| 182| 178|
 1|Кусачки торцевые                                    |423|34-3-151| 140| 135| 130||norow || HOBBI|</span></p><UL><LI>Изготовлены из хромованадиевой стали, полированы.<LI>Рукоятки покрыты пластиком.</UL><p><span class="addt">||/img/pic/instr/small/kusachki torz hobbi.jpg|/img/pic/instr/big/kusachki torz hobbi.jpg
 0|Кусачки торцевые   МИНИ, 120&nbsp;мм                |423|34-3-151| 140| 135| 130|
 0|Кусачки торцевые NORMAL, 180&nbsp;мм                |423|34-6-418| 288| 278| 268|
 1|Кусачки усиленные                                   |423|17381   | 795| 765| 740||norow|| TRUPER|</span></p><UL><LI>Кованая сталь хром-ванадий (CrV, в два раза прочнее углеродистой стали).<LI>Сатинированная поверхность металлической части (надежная защита от коррозии).<LI>Комфортные рукоятки.</UL><p><span class="addt">||/img/pic/instr/small/t17381.jpg|/img/pic/instr/big/t17381.jpg
 0|Кусачки усиленные TRUPER TNI-8,  200 мм             |423|17381   | 760| 740| 720|
 0|Кусачки усиленные TRUPER TNI-10, 250 мм             |423|17388   | 895| 880| 860|
#1|Кусачки торцевые диэлектрические,                   |423|DIAKT200| 270| 260| 250||norow|| 200&nbsp;мм, до 1000&thinsp;В <span class=art>арт. DIAKT200</span>|||/img/pic/instr/small/Kusachki dielectr 1000 w.jpg|/img/pic/instr/big/Kusachki dielectr 1000 w.jpg
#0|Кусачки торцевые диэлектрические, 200&nbsp;мм       |423|DIAKT200| 325| 305| 298|
#1|Кусачки торцевые диэлектрические                    |423|DIAKT200|325|310|295|||, 200&nbsp;мм, до 1000 В <span class=art>арт. DIAKT200</span>|||/img/pic/instr/small/Kusachki dielectr 1000 w.jpg|/img/pic/instr/big/Kusachki dielectr 1000 w.jpg
#1|Кусачки торцевые                                    |423|*34-6-418|175|165|148||| NORMAL, 180&nbsp;мм HOBBI <span class=art>арт. *34-6-418</span>|||/img/pic/instr/small/kus_hobbi.jpg|/img/pic/instr/big/jpg
#1|Кусачки торцевые                                    |423|KT160|158|152|148|||, 160&nbsp;мм, декоративные ручки <span class=art>арт. KT160</span>|||/img/pic/instr/small/Kusachki torcevye.jpg|/img/pic/instr/big/Kusachki torcevye.jpg
#1|Кусачки торцевые                                    |423|34-6-418| 265| 240| 230||norow || NORMAL <span class=art>арт. 34-6-418</span>|</span></p><UL><LI>Изготовлены из хромованадиевой стали, полированы.<LI>Рукоятки покрыты пластиком.</UL><p><span class="addt">||/img/pic/instr/small/kus-34-6-418-2.jpg|/img/pic/instr/big/jpg
#0|Кусачки торцевые, 180&nbsp;мм                       |423|34-6-418| 265| 240| 230|

# 125,cat125|Длинногубцы Круглогубцы
#1|Длинногубцы прямые 200&nbsp;мм         |125|17163   |175|170|165|||| с пластмассовыми рукоятками, SPARTA "Classic" <span class=art>арт. 17163</span>|</span></p><UL><LI>Инструмент изготовлен из инструментальной углеродистой стали марки У7 и имеет шлифованную поверхность.<LI>Твердость режущих кромок 53 HRC. Твердость зажимных частей 45,5 HRC.<LI>Рукоятки выполнены из пластика.</UL><p><span class="addt">||/img/pic/instr/small/s17163.jpg|/img/pic/instr/big/s17163.jpg
#1|Круглогубцы прямые 160&nbsp;мм         |125|KRED200 |139|133|125|||| с красными декоративными рукоятками <span class=art>арт. KRED200</span>|||/img/pic/instr/small/KRUGLOGUBZY.jpg|/img/pic/instr/big/KRUGLOGUBZY.jpg
#1|Круглогубцы прямые "Мини" 120&nbsp;мм  |125|34-3-141|149|142|138|||| HOBBI <span class=art>арт. 34-3-141</span>|</span></p><UL><LI>Круглогубцы изготовлены из высококачественной углеродистой стали с антикоррозийным покрытием.<LI>Имеют эргономичные двухкомпонентные обрезиненные противоскользящие рукоятки.</UL><p><span class="addt">||/img/pic/instr/small/34-3-141.jpg|/img/pic/instr/big/34-3-141.jpg
 1|Длинногубцы прямые 160&nbsp;мм GRAND   |125|17136|189|184|181||Длинногубцы прямые||||/img/pic/instr/small/DLINNOGUBZY GRAND.jpg|/img/pic/instr/big/DLINNOGUBZY GRAND.jpg
 0|Длинногубцы прямые 200&nbsp;мм GRAND   |125|17138|209|202|196
#0|Длинногубцы прямые 200&nbsp;мм STANDARD|125|17154|179|166|155
#1|Длинногубцы прямые|125|17154|119|||, 200&nbsp;мм STANDARD <span class=art>арт. </span>|||/img/pic/instr/small/DLINNOGUBZY GRAND.jpg|/img/pic/instr/big/DLINNOGUBZY GRAND.jpg
#1|Длинногубцы изогнутые 180&nbsp;мм STANDARD|125|17452      |149|138|133||Длинногубцы изогнутые||||/img/pic/instr/small/DLINNOGUBZY IZOGNUTYE STANDARD.jpg|/img/pic/instr/big/DLINNOGUBZY IZOGNUTYE STANDARD.jpg
#0|Длинногубцы изогнутые 200&nbsp;мм STANDARD|125|17496/17454|159|146|142

################################
#1|Плоскогубцы комбинированные 160&nbsp;мм GRAND   |321|16908|88||Плоскогубцы комбинированные| 160&nbsp;мм GRAND <span class=art>арт. 16908</span>|||/img/pic/instr/small/PLOSKOGUBZY GRAND 160 i 200 mm.jpg|/img/pic/instr/big/PLOSKOGUBZY GRAND 160 i 200 mm.jpg
#0|Плоскогубцы комбинированные 200&nbsp;мм GRAND   |321|16911|99
#1|Плоскогубцы комбинированные 160&nbsp;мм STANDARD|321|16969|77||Плоскогубцы комбинированные| 160&nbsp;мм STANDARD <span class=art>арт. 16969</span>|||/img/pic/instr/small/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg|/img/pic/instr/big/PLOSKOGUBZY STANDARD 160 i 200 mm.jpg
#0|Плоскогубцы комбинированные 200&nbsp;мм STANDARD|321|16974 / 16994|159|norow
#1|Бокорезы 160&nbsp;мм|321|17526|55||| GRAND <span class=art>арт. 17526</span>|||/img/pic/instr/small/BOKOREZY GRAND.jpg|/img/pic/instr/big/BOKOREZY GRAND.jpg
#1|Бокорезы 160&nbsp;мм|321|17565|77||| STANDARD <span class=art>арт. 17565</span>|||/img/pic/instr/small/BOKOREZY STANDARD 160 i 200 mm.jpg|/img/pic/instr/big/BOKOREZY STANDARD 160 i 200 mm.jpg
################################

# 131,cat131|Клещи переставные
 1|Клещи переставные, 2к рукоятки           |131|34-9-250| 345| 330|320||norow|Клещи переставные, двухкомпонентные рукоятки, CrV| HARDAX|</span></p><UL><LI>Изготовлены из хромованадиваемой стали.<LI>Рукоятки с ПВХ-покрытием.</UL><p><span class="addt">||/img/pic/instr/small/h34-9-250.jpg|/img/pic/instr/big/h34-9-250.jpg
 0|Клещи переставные HARDAX 250 мм          |131|34-9-250| 345| 330|320||
 0|Клещи переставные HARDAX 250 мм усиленные|131|34-9-251| 525| 510|495||
#1|Клещи переставные, обливные рукоятки     |131|15708   | 375| 350|340||norow|| MATRIX|</span></p><UL><LI>Изготовлены из углеродистой стали.<LI>Имеют острую насечку на губках, обеспечивающую захват предметов, которые не имеют специальных рабочих поверхностей.<LI>Могут использоваться в качестве трубного или разводного ключа.</UL><p><span class="addt">||/img/pic/instr/small/15709.jpg|/img/pic/instr/big/15709.jpg
#0|Клещи переставные MATRIX 250 мм          |131|15708   | 375| 350|340||
#0|Клещи переставные MATRIX 300 мм          |131|15709   | 555| 530|510||
#1|Клещи переставные TRUPER PEX-12, 300 мм  |131|17352   |1090|1020|980||norow|Клещи переставные| TRUPER|</span></p><UL><LI>Изготовлены из кованой высокоуглеродистой стали.<LI>Сатинированное покрытие металлической части, защищающее от коррозии.</UL><p><span class="addt">||/img/pic/instr/small/T17352.jpg|/img/pic/instr/big/T17352.jpg
#0|Клещи переставные TRUPER PEX- 8, 200 мм  |131|17350   | 540| 510|490|
#0|Клещи переставные TRUPER PEX-12, 300 мм  |131|17352   | 690| 660|640|
