# 454|Смеси и клей строительные
# 455|Клей для плитки
 1|Клей для плитки "Ceresit" CM  9, 25 кг                |455|CM.09.25  |-|-|-||norow|Клей для плитки| "Ceresit" CM  9 для внутренних работ <span class=art>арт. CM.09.25</span>|Предназначен для крепления керамической плитки и керамогранита на жестких минеральных основаниях.</span></p><UL><LI>Водостойкий, устойчив к сползанию плитки.<LI>Пригоден только для внутренних работ.<LI>Экологически безопасный.<LI>Имеются документы: <a href="/img/pic/foam/pdf/CM09m.pdf" target=_blank title="Документ PDF">Техническое описание</a>, <a href="/img/pic/foam/pdf/CM09s.pdf" target=_blank title="Документ PDF">Сертификат соответствия</a>, <a href="/img/pic/foam/pdf/CM09r.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>, <a href="/img/pic/foam/pdf/CM09f.pdf" target=_blank title="Документ PDF">Сертификат пожарной безопасности</a>.</UL><p><span class="addt">Расфасовка: мешок 25 кг||/img/pic/foam/small/CM0925.jpg|/img/pic/foam/big/CM0925.jpg
#1|Краска интерьерная супербелая, 14 кг           |313|558|595,00|575,00|560,00||norow|Краска интерьерная супербелая матовая водно-дисперсионная акриловая| KRAFOR, ведро 14 кг <span class=art>арт. 558</span>|</span></p><UL><li>Применяется окрашивания стен и потолков внутри жилых,  общественных и производственных помещений.<li>Краску можно наносить на большинство минеральных оснований, включая бетон, газобетон, кирпич, гипсокартонные плиты, оштукатуренные, а так же ранее окрашенные (но не глянцевые) и другие пористые поверхности.<li>Краску можно колеровать универсальными колеровочными пастами.<li>Готова к применению, легко  наносится, обладает хорошей растекаемостью и  высокой кроющей способностью.<li>Морозостойкая, устойчива к легкому влажному протиранию, допускает ремонтное перекрашивание.<li>Паропроницаемая, экологически безопасная.</ul><p><span class="addt">||/img/pic/shmal/small/krafor-vd.jpg|/img/pic/shmal/big/krafor-vd.jpg
#0|Краска интерьерная супербелая, 14 кг           |313|558|595,00|575,00|560,00||||
#1|Краска вододисперсионная|313|V1-15|ltd || ВД-АК-1180 фасадная «Белоснежная», ведро 15 кг <span class=art>арт. V1-15</span>|Применяется для окраски фасадов и для внутренних работ во влажных помещениях.</span></p><UL><li>После высыхания образует ровную матовую поверхность. Обладает высокой водо- и атмосферостойкостью.<li>Имеет хорошую адгезию к деревянным, бетонным, кирпичным, гипсокартонным и оштукатуренным поверхностям.<li>Образует "дышащее" покрытие; светостойкая (не желтеет в процессе эксплуатации).</ul><p><span class="addt">Цена за 1 кг.||/img/pic/shmal/small/jpg|/img/pic/shmal/big/jpg
#1|Краска вододисперсионная|313|V1-07|ltd || ВД-АК-2180 интерьерная «Белоснежная» (влагостойкая), ведро 7 кг <span class=art>арт. V1-07</span>|Применяется для окраски стен, потолков и различных типов обоев в помещениях с нормальной влажностью.</span></p><UL><li>После высыхания образует ровную матовую поверхность. Устойчива к незначительным механическим воздействиям; допускается легкая влажная уборка.<li>Имеет хорошую адгезию к деревянным, бетонным, кирпичным, гипсокартонным и оштукатуренным поверхностям.<li>Образует "дышащее" покрытие; светостойкая (не желтеет в процессе эксплуатации).</ul><p><span class="addt">Цена за 1 кг.||/img/pic/shmal/small/jpg|/img/pic/shmal/big/jpg

# 295|Краски аэрозольные:
 1|Краска аэрозольная белая глянцевая                   (RAL 9003)|295|11-03-01|210|198|193||norow ltd|Краски аэрозольные| KIM TEC "Lackspray", 400 мл|</span><span class="for">Универсальная аэрозольная краска в баллоне на основе акриловой смолы для быстрого и эффективного окрашивания металлических, лакированных, пластмассовых, гипсовых, деревянных, оштукатуренных и т.п. поверхностей.</span></p><UL><LI>Создает прочное и долговечное покрытие. Хорошо закрашивает ржавчину.<LI>Примерный расход краски &mdash; флакон на 2 кв.метра.<LI>Температура использования от +18&deg;C, оптимальная от +20&deg;C.<LI>Имеется <a href="/img/pic/shmal/big/aero_kim.pdf" target=_blank title="Документ PDF">Свидетельство о гос. регистрации</a>.</LI></UL><p><span class="addt">||/img/pic/shmal/small/aero_kim.jpg|/img/pic/shmal/big/aero_kim.jpg
#0|Краска аэрозольная антрацит глянцевая "KIM TEC"      (RAL 7016)|295|11-01-36|274,00|265,00|255,00|
#0|Краска аэрозольная белая глянцевая "KIM TEC"         (RAL 9003)|295|11-01-01|274,00|265,00|255,00|
 0|Краска аэрозольная белая матовая "KIM TEC"           (RAL 9003)|295|11-01-02|274,00|265,00|255,00|
 0|Краска аэрозольная бежевая    "KIM TEC"              (RAL 1001)|295|11-01-26|274,00|265,00|255,00|
 0|Краска аэрозольная голубая    "KIM TEC"              (RAL 5012)|295|11-01-32|274,00|265,00|255,00|
 0|Краска аэрозольная дыня       "KIM TEC"              (RAL 1028)|295|11-01-40|274,00|265,00|255,00|
 0|Краска аэрозольная жёлтая     "KIM TEC"              (RAL 1018)|295|11-01-11|274,00|265,00|255,00|
#0|Краска аэрозольная зелёная "KIM TEC"                 (RAL 6029)|295|11-01-08|274,00|265,00|255,00|
#0|Краска аэрозольная красная "KIM TEC"                 (RAL 3020)|295|11-01-09|274,00|265,00|255,00|
 0|Краска аэрозольная металлик - золото "KIM TEC"                 |295|11-01-06|349,00|338,00|333,00||sp1
#0|Краска аэрозольная металлик - серебро "KIM TEC"                |295|11-01-05|349,00|338,00|333,00||sp1
 0|Краска аэрозольная оранжевая глянцевая "KIM TEC"     (RAL 2004)|295|11-01-27|274,00|265,00|255,00|
 0|Краска аэрозольная светло-зелёная глянцевая "KIM TEC"(RAL 6018)|295|11-01-34|274,00|265,00|255,00|
 0|Краска аэрозольная серая "KIM TEC"                   (RAL 7046)|295|11-01-12|274,00|265,00|255,00|
#0|Краска аэрозольная синяя "KIM TEC"                   (RAL 5010)|295|11-01-10|274,00|265,00|255,00|
 0|Краска аэрозольная черная глянцевая "KIM TEC"        (RAL 9017)|295|11-01-03|274,00|265,00|255,00|
#0|Краска аэрозольная черная матовая "KIM TEC"          (RAL 9011)|295|11-01-04|274,00|265,00|255,00|
 0|Краска аэрозольная шоколад "KIM TEC"                 (RAL 8017)|295|11-01-25|274,00|265,00|255,00|
 1|Краска аэрозольная белая глянцевая                   (RAL 9003)|295|11-03-01|210|198|193||sale1|Краски аэрозольные| ZIGGER PF, 400 мл (производство Германия)|Универсальная аэрозольная краска ZIGGER PF на основе акриловой смолы для окрашивания металлических, лакированных, пластмассовых, гипсовых, деревянных, оштукатуренных и т.п. поверхностей.</span></p><UL><LI>Создает прочное и долговечное покрытие. Хорошо закрашивает ржавчину.<LI>Примерный расход краски &mdash; флакон на 2 кв.метра.<LI>Температура использования от +18&deg;C, оптимальная от +20&deg;C.</UL><p><span class="addt">||/img/pic/shmal/small/ZIGGER_PR_1.jpg|/img/pic/shmal/big/ZIGGER_PR_1.jpg
 0|Краска аэрозольная бежевая                           (RAL 1001)|295|11-03-26|209,00|202,00|198,00|
#0|Краска аэрозольная голубая                           (RAL 5012)|295|11-03-34|155,00|155,00|155,00|
#0|Краска аэрозольная зелёная                           (RAL 6029)|295|11-03-06|155,00|155,00|155,00|
 0|Краска аэрозольная зелёная светлая                   (RAL 6018)|295|11-03-36|155,00|155,00|155,00|
 0|Краска аэрозольная коричневая глянцевая              (RAL 8011)|295|11-03-41| 99,00| 99,00| 99,00|
 0|Краска аэрозольная металлик - латунь-медь                      |295|11-03-16|244,00|244,00|244,00||sp1
 0|Краска аэрозольная розовая глянцевая                 (RAL 3017)|295|11-03-31|122,00|122,00|122,00|
 0|Краска аэрозольная светло-фиолетовая глянцевая       (RAL 4003)|295|11-03-32|155,00|155,00|155,00|
 0|Краска аэрозольная серая                             (RAL 7046)|295|11-03-11|144,00|144,00|144,00|
 0|Краска аэрозольная серая светлая                     (RAL 7004)|295|11-03-10|167,00|167,00|167,00|
 0|Краска аэрозольная ультрамарин                       (RAL 5002)|295|11-03-13|167,00|167,00|167,00|
 0|Краска аэрозольная фиолетовая глянцевая              (RAL 4008)|295|11-03-33|122,00|122,00|122,00|
#0|Краска аэрозольная оранжевая                         (RAL 2004)|295|11-03-28|122,00|122,00|122,00|
#0|Краска аэрозольная дыня                              (RAL 1028)|295|11-03-27|189,00|183,00|178,00|
#0|Краска аэрозольная черная матовая                    (RAL 9011)|295|11-03-04|189,00|183,00|178,00|
 1|Краска аэрозольная термостойкая белая                (RAL 9003)|295|11-03-18|330,75|301,60|293,55||ltd|Краски аэрозольные термостойкие| ZIGGER PF, 400 мл|Аэрозольная термостойкая силиконовая краска на основе силиконовых смол для защиты деревянных, пластмассовых, металлических и других поверхностей от воздействия воды и высоких температур.</span></p><UL><LI>Применяется для покраски печей, нагревателей, грилей, бойлеров, труб и др. нагреваемых поверхностей.<LI>Окрашиваемые поверхности: металл, пластмасса, гипс, дерево, штукатурка. Можно окрашивать лакированные поверхности. Флакона 400 мл достаточно на 1,5 кв.м.<LI>Термоустойчивость: до +350° C (белая), до +400° C (черная).</UL><p><span class="addt">||/img/pic/shmal/small/11-03-19.jpg|/img/pic/shmal/big/jpg
 0|Краска аэрозольная жаростойкая черная                (RAL 9011)|295|11-03-19|330,75|301,60|293,55||

#0|Краска аэрозольная антрацит глянцевая                (RAL 7016)|295|11-03-38|189,00|183,00|178,00|
#0|Краска аэрозольная белая глянцевая                   (RAL 9003)|295|11-03-01|189,00|183,00|178,00|
#0|Краска аэрозольная белая матовая                     (RAL 9003)|295|11-03-02|189,00|183,00|178,00|
#0|Краска аэрозольная жёлтая                            (RAL 1018)|295|11-03-05|189,00|183,00|178,00|
#0|Краска аэрозольная красная                           (RAL 3020)|295|11-03-08|189,00|183,00|178,00|
#0|Краска аэрозольная красное вино                      (RAL 3005)|295|11-03-09|189,00|183,00|178,00|
#0|Краска аэрозольная металлик - золото                           |295|11-03-15|285,00|275,00|265,00||sp1
#0|Краска аэрозольная металлик - серебро                          |295|11-03-17|285,00|275,00|265,00||sp1
#0|Краска аэрозольная синяя                             (RAL 5010)|295|11-03-12|189,00|183,00|178,00|
#0|Краска аэрозольная черная глянцевая                  (RAL 9017)|295|11-03-03|189,00|183,00|178,00|
#0|Краска аэрозольная шоколадная                        (RAL 8017)|295|11-03-14|189,00|183,00|178,00|

# 296|Грунт аэрозольный
 1|Грунт антикоррозийный аэрозольный серый (RAL 7040)|296|11-01-14|245|235|225||norow ltd one|Спрей-грунт аэрозольный антикоррозийный| KIM TEC "Grundspray" серый (RAL 7040), 400 мл <span class="art">арт. 11-01-14</span>|</span><span class="for">Для грунтовки и антикоррозийной защиты различных поверхностей без помощи инструментов</span></p><UL><LI>Обрабатываемый материал: сталь, литейный чугун и другие металлические основы; бетон, гипсокартон, дерево, керамическая плитка, керамика, ПВХ и другие пластики, стекло.<LI>Быстро сохнет. Имеет матовую поверхность.<LI>Обладает отличной изоляционной способностью и адгезией для эмалевых покрытий.<LI>Не содержит свинца, хроматовых примесей и компонент, разрушающих озоновый слой.<LI>Термостойкость до +110°C.<LI>Флакона 400 мл достаточно на 1.5 кв.м.<LI>Время высыхания 10-15 минут при температуре +20°C.</UL><p><span class="addt">||/img/pic/shmal/small/11-01-14n.jpg|/img/pic/shmal/big/11-01-14n.jpg
 0|Грунт антикоррозийный аэрозольный серый (RAL 7040)|296|11-01-14|245|235|225
#1|Грунт антикоррозийный аэрозольный серый (RAL 7040)|296|26-1-0-003|144|136|159|norow |Грунт аэрозольный| CYCLONE GROUND Anti-Rust, 400 мл|</span></p><UL><LI>Аэрозольная быстросохнущая антикоррозийная грунтовка стальных, чугунных и др. поверхностей.<LI>Также применяется в качестве грунтовки для декоративных эмалей серии CYCLONE Spray.<LI>Обладает хорошей адгезией с поверхостью основания.<LI>Термостойкость до +110° C.<LI>400 мл достаточно на 1.5 кв.м.</UL><p><span class="addt">||/img/pic/shmal/small/GRUNT.jpg|/img/pic/shmal/big/GRUNT.jpg
#0|Грунт антикоррозийный аэрозольный белый (RAL 9003)|296|26-1-0-001|179|165|159
#0|Грунт антикоррозийный аэрозольный серый (RAL 7040)|296|26-1-0-003|179|165|159

# 295|Краски аэрозольные:               1.all (ZIGGER)  2.металлик  3."KIM TEC"  4.термостойкая   |
#1|Краска аэрозольная белая глянцевая                  (RAL 9003)|295|11-03-01|210|198|193||norow|Краски аэрозольные| ZIGGER PF, 400 мл (производство Германия)|Универсальная аэрозольная краска ZIGGER PF на основе акриловой смолы для окрашивания металлических, лакированных, пластмассовых, гипсовых, деревянных, оштукатуренных и т.п. поверхностей.</span></p><UL><LI>Создает прочное и долговечное покрытие. Хорошо закрашивает ржавчину.<LI>Примерный расход краски &mdash; флакон на 2 кв.метра.<LI>Температура использования от +18&deg;C, оптимальная от +20&deg;C.</UL><p><span class="addt">||/img/pic/shmal/small/ZIGGER_PR_1.jpg|/img/pic/shmal/big/ZIGGER_PR_1.jpg
#0|Краска аэрозольная белая глянцевая                  (RAL 9003)|295|11-03-01|210|198|193|
#0|Краска аэрозольная белая глянцевая "KIM TEC"        (RAL 9003)|295|11-01-01|245|240|235||blue
#0|Краска аэрозольная белая матовая                    (RAL 9003)|295|11-03-02|210|198|193|
#0|Краска аэрозольная черная глянцевая                 (RAL 9017)|295|11-03-03|210|198|193|
#0|Краска аэрозольная черная матовая                   (RAL 9011)|295|11-03-04|210|198|193|
#0|Краска аэрозольная черная матовая "KIM TEC"         (RAL 9011)|295|11-01-04|245|240|235||blue
#0|Краска аэрозольная жёлтая                           (RAL 1018)|295|11-03-05|210|198|193|
#0|Краска аэрозольная жёлтая     "KIM TEC"             (RAL 1018)|295|11-01-11|245|240|235||blue
#0|Краска аэрозольная зелёная                          (RAL 6029)|295|11-03-06|210|198|193|
#0|Краска аэрозольная красная                          (RAL 3020)|295|11-03-08|210|198|193|
#0|Краска аэрозольная красная "KIM TEC"                (RAL 3020)|295|11-01-09|245|240|235||blue
#0|Краска аэрозольная красное вино                     (RAL 3005)|295|11-03-09|210|198|193|
#0|Краска аэрозольная серая светлая                    (RAL 7004)|295|11-03-10|210|198|193|
#0|Краска аэрозольная серая                            (RAL 7046)|295|11-03-11|210|198|193|
#0|Краска аэрозольная серая "KIM TEC"                  (RAL 7046)|295|11-01-12|245|240|235||blue
#0|Краска аэрозольная синяя                            (RAL 5010)|295|11-03-12|210|198|193|
#0|Краска аэрозольная синяя "KIM TEC"                  (RAL 5010)|295|11-01-10|245|240|235||blue
#0|Краска аэрозольная ультрамарин                      (RAL 5002)|295|11-03-13|210|198|193|
#0|Краска аэрозольная шоколадная                       (RAL 8017)|295|11-03-14|210|198|193|
#0|Краска аэрозольная шоколадная "KIM TEC"             (RAL 8017)|295|11-01-25|245|240|235||blue
#0|Краска аэрозольная металлик - золото "KIM TEC"      (RAL 9017)|295|11-01-06|318|305|295||blue
#0|Краска аэрозольная металлик - золото                (RAL 9017)|295|11-03-15|295|288|280||sp1
#0|Краска аэрозольная металлик - латунь-медь           (RAL 9017)|295|11-03-16|295|288|280||sp1
#0|Краска аэрозольная металлик - серебро               (RAL 9017)|295|11-03-17|295|288|280||sp1
#0|Краска аэрозольная бежевая                          (RAL 1001)|295|11-03-26|210|198|193|
#0|Краска аэрозольная черная глянцевая                 (RAL 9017)|295|11-03-27|210|198|193|
#0|Краска аэрозольная оранжевая                        (RAL 2004)|295|11-03-28|210|198|193|
#0|Краска аэрозольная розовая глянцевая                (RAL 3017)|295|11-03-31|210|198|193|
#0|Краска аэрозольная светло-фиолетовая глянцевая      (RAL 4003)|295|11-03-32|210|198|193|
#0|Краска аэрозольная фиолетовая глянцевая             (RAL 4008)|295|11-03-33|210|198|193|
#0|Краска аэрозольная голубая                          (RAL 5012)|295|11-03-34|210|198|193|
#0|Краска аэрозольная зелёная светлая                  (RAL 6018)|295|11-03-36|210|198|193|
#0|Краска аэрозольная антрацит глянцевая               (RAL 7016)|295|11-03-38|210|198|193|
#0|Краска аэрозольная коричневая глянцевая             (RAL 8011)|295|11-03-41|210|198|193|
#1|Краска аэрозольная термостойкая белая               (RAL 9003)|295|11-03-18|360|340|320|| |Краски аэрозольные термостойкие| ZIGGER PF, 400 мл|Аэрозольная термостойкая силиконовая краска на основе силиконовых смол для защиты деревянных, пластмассовых, металлических и других поверхностей от воздействия воды и высоких температур.</span></p><UL><LI>Применяется для покраски печей, нагревателей, грилей, бойлеров, труб и др. нагреваемых поверхностей.<LI>Окрашиваемые поверхности: металл, пластмасса, гипс, дерево, штукатурка. Можно окрашивать лакированные поверхности. Флакона 400 мл достаточно на 1,5 кв.м.<LI>Термоустойчивость: до +350° C (белая), до +400° C (черная).</UL><p><span class="addt">||/img/pic/shmal/small/11-03-19.jpg|/img/pic/shmal/big/jpg
#0|Краска аэрозольная жаростойкая черная               (RAL 9011)|295|11-03-19|360|340|320||

#1|Краска аэрозольная жаростойкая алюминиевая матовая (RAL 9006)|295|26-4-0-001|235|205|195| |Краски аэрозольные жаростойкие| CYCLONE THERMAL Enamel, 400 мл|</span></p><UL><LI>Аэрозольная жаростойкая силиконовая краска, обеспечивающая прочную и долговечную защиту поверхности от воздействия высокой температуры.<LI>Применяется для покраски печей, нагревателей, грилей, бойлеров, труб и др. нагреваемых поверхностей.<LI>Термоустойчивость: до +600° C (алюминиевая), до +400° C (черная)<LI>Обладает отличной покрываемостью поверхностей. 400 мл достаточно на 2 кв.м.</UL><p><span class="addt">||/img/pic/shmal/small/26-4-0-001.jpg|/img/pic/shmal/big/jpg
#0|Краска аэрозольная жаростойкая черная              (RAL 9011)|295|26-4-0-003|235|205|195|

#1|Краска аэрозольная белая глянцевая      (RAL 9003)|295|26-0-0-002|135|125|118|norow|Краски аэрозольные универсальные| CYCLONE UNIVERSAL Enamel, 400 мл|</span></p><UL><LI>Универсальная аэрозольная быстросохнущая эмаль для декоративной покраски различных поверхностей из металла, дерева, пластмассы, гипса, штукатурки, для внутренних и наружных работ.<LI>Применяется для покраски жестяных кузовов, велосипедов, мебели и т.п.<LI>Обладает отличным блеском и покрываемостью поверхностей.<LI>400 мл достаточно на 2 кв.м.</UL><p><span class="addt">||/img/pic/shmal/small/KRASKA.jpg|/img/pic/shmal/big/KRASKA.jpg
#0|Краска аэрозольная белая глянцевая      (RAL 9003)|295|26-0-0-002|135|125|118
#0|Краска аэрозольная белая матовая        (RAL 9003)|295|26-0-0-003|135|125|118
#0|Краска аэрозольная тёмно-синяя          (RAL 5002)|295|26-0-0-007|135|125|118
#0|Краска аэрозольная светло-жёлтая        (RAL 1003)|295|26-0-0-008|135|125|118
#0|Краска аэрозольная жёлтая               (RAL 1018)|295|26-0-0-009|135|125|118
#0|Краска аэрозольная зелёная              (RAL 6029)|295|26-0-0-011|135|125|118
#0|Краска аэрозольная красная              (RAL 3002)|295|26-0-0-018|135|125|118
#0|Краска аэрозольная оранжевая            (RAL 2004)|295|26-0-0-021|135|125|118
#0|Краска аэрозольная серая                (RAL 7024)|295|26-0-0-027|135|125|118
#0|Краска аэрозольная светло-голубая       (RAL 5012)|295|26-0-0-028|135|125|118
#0|Краска аэрозольная синяя                (RAL 5010)|295|26-0-0-029|135|125|118
#0|Краска аэрозольная фиолетовая           (RAL 4008)|295|26-0-0-030|135|125|118
#0|Краска аэрозольная черная глянцевая     (RAL 9017)|295|26-0-0-032|135|125|118
#0|Краска аэрозольная черная матовая       (RAL 9011)|295|26-0-0-033|135|125|118

#1|Эмаль ПФ-115 белая                    |304|||    25BW      |108,00|102,00| 98,00||norow |Эмаль| ПФ-115|</span></p><UL><LI>Алкидная пентафталевая эмаль ПФ-115 ГОСТ 6465-76 предназначается для окраски металлических, деревянных и других поверхностей, подвергающихся атмосферным воздействиям, и для окраски внутри помещений.<LI>Эмаль обеспечивает получение высокоглянцевого декоративного, светостойкого покрытия. Покрытие, состоящее из двух слоев эмали ПФ-115, нанесенных на подготовленную загрунтованную поверхность, в умеренном климате сохраняет защитные свойства в течение четырех лет. Пленка эмали устойчива к изменению температуры от минус 50°С до плюс 60°С.<LI><b>Расфасовка: ведро 25 кг.</b></UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/shmal/small/PF-115.JPG|/img/pic/shmal/big/jpg
#0|Эмаль ПФ-115 синяя                    |304|||    115-LDBL20|112,00|108,00|105,00||
#0|Эмаль ПФ-115 серая                    |304|||    115-LS20  |107,00|103,00| 98,00||
#0|Эмаль ПФ-115 черная                   |304|||    115-LB20  |102,00| 97,00| 94,00||
#0|Эмаль ПФ-115 серая (барабан 50 кг)    |304|||    115-LS50  |-     |-     |-     ||
#1|Эмаль ПФ-115 белая                    |304|||    115-L20   |-     |-     |-     ||norow |Эмаль| ПФ-115, пр-во г. Лида|</span></p><UL><LI>Алкидная пентафталевая эмаль ПФ-115 ГОСТ 6465-76 предназначается для окраски металлических, деревянных и других поверхностей, подвергающихся атмосферным воздействиям, и для окраски внутри помещений.<LI>Эмаль обеспечивает получение высокоглянцевого декоративного, светостойкого покрытия. Покрытие, состоящее из двух слоев эмали ПФ-115, нанесенных на подготовленную загрунтованную поверхность, в умеренном климате сохраняет защитные свойства в течение четырех лет. Пленка эмали устойчива к изменению температуры от минус 50°С до плюс 60°С.<LI><b>Расфасовка: банка 2 кг.</b></UL><p><span class="addt"><b>Цена за 1 банку.</b>||/img/pic/shmal/small/PF-115.JPG|/img/pic/shmal/big/jpg
#0|Эмаль ПФ-115 белая                    |304|||    115-W2    |-     |-     |-     ||
#0|Эмаль ПФ-115 желтая                   |304|||    115-LJ2   |-     |-     |-     ||
#0|Эмаль ПФ-115 красная                  |304|||    115-R2    |-     |-     |-     ||
#0|Эмаль ПФ-115 серая                    |304|||    115-S2    |-     |-     |-     ||
#0|Эмаль ПФ-115 синяя                    |304|||    115-DBL2  |-     |-     |-     ||
#0|Эмаль ПФ-115 черная                   |304|||    115-LB2   |-     |-     |-     ||
#0|Эмаль ПФ-115 белая       (ведро 20 кг)|304|20|кг|115-LW20  |135,00|129,00|125,00||ltdl
#0|Эмаль ПФ-115 голубая     (ведро 20 кг)|304|20|кг|115-LBL20 |135,00|129,00|125,00||ltdl
#0|Эмаль ПФ-115 желтая      (ведро 20 кг)|304|20|кг|115-LJ20  |125,00|118,00|114,00||ltdl
#0|Эмаль ПФ-115 зеленая     (ведро 20 кг)|304|20|кг|115-LG20  |133,00|127,00|123,00||ltdl
#0|Эмаль ПФ-115 красная     (ведро 20 кг)|304|20|кг|115-LR20  |128,00|122,00|118,00||ltdl
#0|Эмаль ПФ-115 оранжевая   (ведро 20 кг)|304|20|кг|20LO      |124,00|120,00|116,00||ltdl
#0|Эмаль ПФ-115 фисташковая (ведро 20 кг)|304|20|кг|20LF      |115,00|108,00|102,00||ltdl

## 305|Грунт ГФ-021
#1|Грунт ГФ-021                                        |305|20|кг|M.GG.20 | 64,00| 62,00| 59,00||norow || "Мономах"|Универсальный грунт для обработки различных конструкций из дерева, металла и бетона.<br><b>Цена за 1 кг.</b>||/img/pic/shmal/small/GF021.jpg|/img/pic/shmal/big/GF021.jpg
#0|Грунт ГФ-021 красно-коричневый, ведро 20 кг         |305|20|кг|M.GG.20 | 64,00| 62,00| 59,00|
#0|Грунт ГФ-021 серый, ведро 20 кг                     |305|20|кг|M.GB.20 | 72,00| 69,00| 67,00|
 1|Грунт ГФ-021                                        |305|50|кг|        | 94,00| 91,00| 89,00||norow|| в вёдрах|<br><br><b>Цена за 1 кг.</b>||/img/pic/shmal/small/GF021.jpg|/img/pic/shmal/big/GF021.jpg
~0|Грунт ГФ-021 красно-коричневый, 28 кг               |305|28|кг|GR.28   | 68,00| 66,00| 64,00|
~0|Грунт ГФ-021 серый, 28 кг                           |305|28|кг|GS.28   | 68,00| 66,00| 64,00|
#0|Грунт ГФ-021 красно-коричневый быстросохнущий, 25 кг|305|25|кг|GLR25   | 98,00| 96,00| 94,00||ltdl
#0|Грунт ГФ-021 светло-серый, ведро 25 кг              |305|25|кг|GLS25   |104,00|101,00| 98,00|
#1|Грунт ГФ-021 серый                                  |305| 1|б.|KG.27.S |338,00|328,00|324,00||norow || KRAFOR, банка 2.7 кг|</span><span class="for">Для грунтования металлических и деревянных поверхностей под покрытие различными эмалями</span></p><UL><LI>Обеспечивает высокое сцепление (адгезию) с грунтуемой поверхностью.<LI>Предупреждает отслаивание эмалей, защищает от коррозии.<LI>Имеет долгий срок службы.<LI>Расход 60-100 г/кв.м. Время высыхания 14 часов.</UL><p><span class="addt"><b>Цена за 1 банку 2.7 кг.</b>||/img/pic/shmal/small/GF021kr.jpg|/img/pic/shmal/big/GF021kr.jpg
#0|Грунт ГФ-021 серый KRAFOR, банка 2.7 кг             |305| 1|б.|KG.27.S |338,00|328,00|324,00|
#1|Грунт ГФ-021 серый                                  |305| 1|б.|KG.27.S |320,00|320,00|320,00||norow || KRAFOR, банка 2.7 кг|</span><span class="for">Для грунтования металлических и деревянных поверхностей под покрытие различными эмалями</span></p><UL><LI>Обладает отличными защитными свойствами.<LI>Расход 100-150 г/кв.м. Время высыхания 4 часа.</UL><p><span class="addt"><b>Цена за 1 банку 2.7 кг.</b>||/img/pic/shmal/small/GF021kr.jpg|/img/pic/shmal/big/GF021kr.jpg
#1|Грунт ГФ-021 светло-серый, барабан 50 кг            |305|50|кг|GLR20   | 97,00| 92,00| 89,00||norow ltd|Грунт| ГФ-021, пр-во г. Лида|</span></p><UL><LI>Алкидная грунтовка общего назначения ГФ-021 ГОСТ 25129-82 предназначается для окрашивания металлических и деревянных поверхностей под покрытия различными эмалями и красками.<LI>Пленки грунтовки устойчивы к изменению температуры от минус 45°С до плюс 60°С.</UL><p><span class="addt">Цена за 1 кг.||/img/pic/shmal/small/GF-021-2.jpg|/img/pic/shmal/big/jpg
#0|Грунт ГФ-021 красно-коричневый, барабан 20 кг       |305|20|кг|GLR20   | 97,00| 92,00| 89,00|
#0|Грунт ГФ-021 красно-коричневый, барабан 50 кг       |305|50|кг|GLR50   | 97,00| 92,00| 89,00|
#0|Грунт ГФ-021 светло-серый, барабан 50 кг            |305|50|кг|GLS50   | 99,00| 95,00| 92,00|
#0|Грунт ГФ-021 светло-серый, ведро 20 кг              |305|20|кг|GLS20   | 99,00| 95,00| 92,00|

## 304|Эмаль ПФ-115 (крупная фасовка)
1|Эмаль ПФ-115 |304||| |108,00|102,00| 98,00||norow |Эмаль| ПФ-115|</span></p><UL><LI>Алкидная пентафталевая эмаль ПФ-115 ГОСТ 6465-76 предназначается для окраски металлических, деревянных и других поверхностей, подвергающихся атмосферным воздействиям, и для окраски внутри помещений.<LI>Эмаль обеспечивает получение высокоглянцевого декоративного, светостойкого покрытия. Покрытие, состоящее из двух слоев эмали ПФ-115, нанесенных на подготовленную загрунтованную поверхность, в умеренном климате сохраняет защитные свойства в течение четырех лет. Пленка эмали устойчива к изменению температуры от минус 50°С до плюс 60°С.<LI><b>Расфасовка: ведро 25 кг.</b></UL><p><span class="addt"><b>Цена за 1 кг.</b>||/img/pic/shmal/small/PF115-20-25h.jpg|/img/pic/shmal/big/PF115-20-25.jpg
0|Эмаль ПФ-115 бежевая            (ведро 25 кг)|304|25|кг|THR.25.BEZ  |69,98|68,98|67,98||
0|Эмаль ПФ-115 светло-бежевая     (ведро 25 кг)|304|25|кг|THR.25.BEZ.2|69,98|68,98|67,98||
0|Эмаль ПФ-115 белая              (ведро 25 кг)|304|25|кг|THR.25.W    |82,98|81,98|78,98||
0|Эмаль ПФ-115 голубая            (ведро 25 кг)|304|25|кг|THR.25.BL   |69,98|68,98|67,98||
0|Эмаль ПФ-115 светло-голубая     (ведро 25 кг)|304|25|кг|THR.25.BL.2 |69,98|68,98|67,98||
0|Эмаль ПФ-115 желтая             (ведро 25 кг)|304|25|кг|THR.25.Y    |69,98|68,98|67,98||
0|Эмаль ПФ-115 зеленая            (ведро 25 кг)|304|25|кг|THR.25.GR   |69,98|68,98|67,98||
0|Эмаль ПФ-115 коричневая         (ведро 25 кг)|304|25|кг|THR.25.BRA  |69,98|68,98|67,98||
